ID,Sex,Age,Height,Weight,Country,Year,Sport,Medal
14586,F,21,163,52,UK,1988,Cycling,NA
14687,M,33,174,58,Canada,2016,Athletics,NA
14759,M,20,186,81,Germany,1976,Cycling,Gold
14767,M,26,183,64,Germany,1988,Athletics,NA
14769,M,27,192,86,Germany,2000,Swimming,NA
14771,F,23,174,65,Germany,1988,Athletics,NA
14771,F,27,174,65,Germany,1992,Athletics,Bronze
14807,M,23,203,90,Russia,2000,Athletics,NA
14815,M,27,175,70,Russia,1952,Athletics,NA
14816,M,26,177,53,Australia,1960,Cycling,NA
14862,F,19,180,73,USA,2008,Swimming,NA
14862,F,19,180,73,USA,2008,Swimming,Silver
14909,M,25,185,78,Italy,2004,Swimming,Bronze
14928,F,18,185,69,Germany,1992,Swimming,NA
14985,F,21,171,59,UK,2000,Swimming,NA
15006,M,21,192,96,Australia,1980,Swimming,NA
15018,M,19,184,78,Germany,1908,Athletics,NA
15095,M,31,188,79,USA,1992,Athletics,NA
15158,M,21,188,79,Australia,1964,Cycling,NA
15177,M,20,188,80,Australia,2008,Swimming,Bronze
15223,M,28,180,68,France,1996,Cycling,NA
15230,M,24,181,78,Canada,1912,Athletics,NA
15366,M,21,183,73,Canada,1968,Athletics,NA
15392,F,21,183,109,USA,2012,Athletics,NA
15513,F,25,175,114,USA,1960,Athletics,NA
15523,M,20,185,79,USA,1952,Athletics,NA
15527,M,21,177,75,Australia,2000,Cycling,NA
15568,F,19,171,67,UK,1972,Swimming,NA
15581,F,19,173,62,Australia,1980,Swimming,NA
15591,F,22,175,64,USA,2012,Athletics,NA
15619,F,21,170,53,Australia,1984,Athletics,NA
15633,F,22,168,57,UK,1988,Swimming,NA
15633,F,26,168,57,UK,1992,Swimming,NA
15634,M,22,196,77,USA,1996,Athletics,NA
15664,M,19,192,80,Australia,1988,Swimming,NA
15665,F,21,170,62,USA,1988,Swimming,NA
15704,M,27,176,61,Italy,2004,Athletics,Gold
15704,M,31,176,61,Italy,2008,Athletics,NA
15739,M,18,180,71,Canada,1972,Swimming,NA
15758,M,26,186,73,France,1984,Athletics,NA
15818,M,26,187,110,Germany,1988,Athletics,NA
15993,M,24,178,70,Italy,1976,Athletics,NA
16006,F,21,165,68,Australia,2012,Cycling,NA
16048,M,23,182,68,France,1972,Athletics,NA
16059,M,27,176,74,Germany,1932,Athletics,NA
16084,M,18,181,71,Canada,1972,Swimming,NA
16111,M,29,182,67,UK,1992,Athletics,NA
16128,M,26,186,79,Russia,1976,Athletics,NA
16298,F,27,156,51,Russia,1972,Athletics,NA
16407,M,21,177,75,Russia,1960,Athletics,NA
16432,F,28,175,87,Germany,2004,Athletics,NA
16459,F,23,168,56,Russia,1988,Athletics,NA
16465,F,31,154,50,Russia,1992,Athletics,NA
16501,M,21,181,76,Russia,1972,Swimming,Bronze
16501,M,21,181,76,Russia,1972,Swimming,NA
16521,M,26,187,80,Australia,2000,Athletics,NA
16538,M,27,185,95,UK,1900,Swimming,NA
16557,M,23,180,70,UK,1928,Athletics,Gold
16557,M,27,180,70,UK,1932,Athletics,NA
16557,M,27,180,70,UK,1932,Athletics,NA
16607,M,44,185,112,USA,1984,Athletics,NA
16614,M,24,183,78,UK,2012,Cycling,Gold
16638,M,20,187,72,USA,1960,Athletics,NA
16681,M,25,189,83,UK,2008,Swimming,NA
16688,F,20,160,58,Australia,2000,Cycling,NA
16689,M,24,183,66,UK,1932,Athletics,NA
16689,M,28,183,66,UK,1936,Athletics,NA
16702,M,20,178,74,Australia,1988,Cycling,NA
16720,F,26,176,58,USA,2000,Athletics,NA
16721,M,25,183,82,USA,1992,Athletics,Gold
16722,M,25,183,79,UK,1984,Swimming,NA
16724,F,16,165,54,UK,1968,Swimming,NA
16724,F,16,165,54,UK,1968,Swimming,NA
16757,M,33,198,98,USA,1948,Athletics,NA
16784,F,23,166,54,Australia,1964,Athletics,NA
16790,F,27,165,49,Canada,1988,Athletics,NA
16807,F,25,177,66,Germany,1988,Athletics,NA
16819,M,25,191,80,Germany,2000,Athletics,NA
16845,F,24,170,57,Germany,1984,Athletics,Bronze
16861,F,30,159,51,Canada,1992,Athletics,NA
16924,F,30,174,54,UK,2004,Athletics,NA
16964,M,23,191,80,Germany,1972,Athletics,NA
17073,M,22,190,82,Australia,1968,Cycling,NA
17078,M,19,181,88,USA,1912,Athletics,NA
17105,F,22,170,65,Russia,1956,Athletics,NA
17161,M,23,190,84,Canada,2016,Athletics,NA
17273,M,22,180,86,France,1980,Cycling,NA
17297,M,21,180,72,China,1988,Cycling,NA
17313,F,16,165,58,Australia,1972,Swimming,NA
17319,M,21,178,73,UK,2000,Athletics,NA
17324,F,20,165,52,Australia,1972,Athletics,NA
17378,M,22,180,70,Italy,1936,Athletics,NA
17434,M,24,186,92,France,2012,Cycling,NA
17437,M,23,185,75,USA,1956,Athletics,Gold
17463,F,16,186,66,USA,1968,Athletics,NA
17486,M,20,185,78,Italy,1972,Swimming,NA
17487,F,13,163,48,Italy,1968,Swimming,NA
